#Coverage	Number of genomic locations
0.0	3.206329571E9
1.0	4102659.0
2.0	3336824.0
3.0	3012075.0
4.0	2770825.0
5.0	2601230.0
6.0	2437131.0
7.0	2312836.0
8.0	2202853.0
9.0	2105086.0
10.0	2022396.0
11.0	1938779.0
12.0	1860043.0
13.0	1785447.0
14.0	1720188.0
15.0	1659883.0
16.0	1609191.0
17.0	1562422.0
18.0	1508212.0
19.0	1459475.0
20.0	1415830.0
21.0	1367623.0
22.0	1324082.0
23.0	1282300.0
24.0	1243218.0
25.0	1205002.0
26.0	1167526.0
27.0	1133433.0
28.0	1097971.0
29.0	1064439.0
30.0	1034370.0
31.0	1001864.0
32.0	970716.0
33.0	944352.0
34.0	916618.0
35.0	891706.0
36.0	864247.0
37.0	835924.0
38.0	810611.0
39.0	786155.0
40.0	763305.0
41.0	742593.0
42.0	721433.0
43.0	700757.0
44.0	679942.0
45.0	658391.0
46.0	638689.0
47.0	617579.0
48.0	603115.0
49.0	585730.0
50.0	569337.0
51.0	552603.0
52.0	536008.0
53.0	522604.0
54.0	507720.0
55.0	495238.0
56.0	478286.0
57.0	465617.0
58.0	452541.0
59.0	438810.0
60.0	424865.0
61.0	414511.0
62.0	403726.0
63.0	392650.0
64.0	382437.0
65.0	371042.0
66.0	361178.0
67.0	352771.0
68.0	343046.0
69.0	335356.0
70.0	327701.0
71.0	318775.0
72.0	310032.0
73.0	303393.0
74.0	295561.0
75.0	287151.0
76.0	278157.0
77.0	270031.0
78.0	264147.0
79.0	257591.0
80.0	250455.0
81.0	243908.0
82.0	237055.0
83.0	231580.0
84.0	226308.0
85.0	221271.0
86.0	215525.0
87.0	210439.0
88.0	205287.0
89.0	200147.0
90.0	194141.0
91.0	188735.0
92.0	184041.0
93.0	180019.0
94.0	174609.0
95.0	170916.0
96.0	166702.0
97.0	163414.0
98.0	158946.0
99.0	154574.0
100.0	151667.0
101.0	148228.0
102.0	144357.0
103.0	141386.0
104.0	137995.0
105.0	134547.0
106.0	132301.0
107.0	128951.0
108.0	126810.0
109.0	123555.0
110.0	120194.0
111.0	118241.0
112.0	114899.0
113.0	111541.0
114.0	109652.0
115.0	106829.0
116.0	104189.0
117.0	101635.0
118.0	99989.0
119.0	97189.0
120.0	94269.0
121.0	93106.0
122.0	90743.0
123.0	89015.0
124.0	87740.0
125.0	85359.0
126.0	83836.0
127.0	82443.0
128.0	80595.0
129.0	78348.0
130.0	76913.0
131.0	75070.0
132.0	73008.0
133.0	71732.0
134.0	69974.0
135.0	68362.0
136.0	66813.0
137.0	65789.0
138.0	64225.0
139.0	62401.0
140.0	61499.0
141.0	60137.0
142.0	59017.0
143.0	57297.0
144.0	56259.0
145.0	55119.0
146.0	53541.0
147.0	52586.0
148.0	51549.0
149.0	50531.0
150.0	49284.0
151.0	48495.0
152.0	47271.0
153.0	45840.0
154.0	44213.0
155.0	43976.0
156.0	43013.0
157.0	41715.0
158.0	41102.0
159.0	40389.0
160.0	39026.0
161.0	37928.0
162.0	37399.0
163.0	37086.0
164.0	36330.0
165.0	35439.0
166.0	34883.0
167.0	34021.0
168.0	33286.0
169.0	32315.0
170.0	32098.0
171.0	30815.0
172.0	30708.0
173.0	29771.0
174.0	29062.0
175.0	28322.0
176.0	27838.0
177.0	27719.0
178.0	26733.0
179.0	26643.0
180.0	26133.0
181.0	25737.0
182.0	24950.0
183.0	24479.0
184.0	24147.0
185.0	23871.0
186.0	23291.0
187.0	22678.0
188.0	22381.0
189.0	22246.0
190.0	21697.0
191.0	21195.0
192.0	20654.0
193.0	20293.0
194.0	19610.0
195.0	19418.0
196.0	19408.0
197.0	18881.0
198.0	18507.0
199.0	18399.0
200.0	17960.0
201.0	17536.0
202.0	17027.0
203.0	16852.0
204.0	16375.0
205.0	15826.0
206.0	15718.0
207.0	15384.0
208.0	15112.0
209.0	14859.0
210.0	14460.0
211.0	14237.0
212.0	13941.0
213.0	13478.0
214.0	13451.0
215.0	13262.0
216.0	13173.0
217.0	12783.0
218.0	12492.0
219.0	12301.0
220.0	12026.0
221.0	11798.0
222.0	11672.0
223.0	11460.0
224.0	11105.0
225.0	11190.0
226.0	10899.0
227.0	10780.0
228.0	10484.0
229.0	10253.0
230.0	10212.0
231.0	9977.0
232.0	9924.0
233.0	9593.0
234.0	9383.0
235.0	8997.0
236.0	8994.0
237.0	8872.0
238.0	8511.0
239.0	8664.0
240.0	8487.0
241.0	8129.0
242.0	8250.0
243.0	7994.0
244.0	7778.0
245.0	7584.0
246.0	7469.0
247.0	7337.0
248.0	7218.0
249.0	7022.0
250.0	6923.0
251.0	6848.0
252.0	6810.0
253.0	6587.0
254.0	6490.0
255.0	6297.0
256.0	6339.0
257.0	6207.0
258.0	5898.0
259.0	5848.0
260.0	5712.0
261.0	5612.0
262.0	5377.0
263.0	5575.0
264.0	5251.0
