#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	2.9094937946316346E-7
4.0	2.9094937946316346E-7
5.0	5.818987589263269E-7
6.0	5.818987589263269E-7
7.0	0.0
8.0	2.9094937946316346E-7
9.0	5.818987589263269E-7
10.0	5.818987589263269E-7
11.0	1.1637975178526538E-6
12.0	8.728481383894904E-7
13.0	3.4913925535579615E-6
14.0	7.273734486579087E-6
15.0	1.5129367732084497E-5
16.0	2.560354539275839E-5
17.0	5.4116584580148416E-5
18.0	1.0706937164244417E-4
19.0	2.1792108521790946E-4
20.0	4.0063729552077606E-4
21.0	7.398842719748246E-4
22.0	0.0011565237833660747
23.0	0.0018056318489483925
24.0	0.0026540402394629775
25.0	0.004244078598229165
26.0	0.0047191989348925115
27.0	0.006733441488915992
28.0	0.008492230487770815
29.0	0.010667368048637426
30.0	0.012722925414544678
31.0	0.014884679303955982
32.0	0.017265518076103048
33.0	0.019731895965812284
34.0	0.022331819620695113
35.0	0.024536924967646426
36.0	0.026877321776048117
37.0	0.028595959760537023
38.0	0.030247097488990474
39.0	0.031269202659044565
40.0	0.03204894699600585
41.0	0.03200297699405067
42.0	0.03158546463452103
43.0	0.03073822004152429
44.0	0.02964134088094817
45.0	0.028976812498254303
46.0	0.028208997085851017
47.0	0.02766463079687544
48.0	0.02766055750556295
49.0	0.027717874533317196
50.0	0.027792357574459765
51.0	0.030201127487035295
52.0	0.024525868891226828
53.0	0.02649414144329513
54.0	0.025887511987114434
55.0	0.025372240636085175
56.0	0.02517817739998324
57.0	0.024345189326580207
58.0	0.023648947461524857
59.0	0.02285931084566183
60.0	0.022118262776169153
61.0	0.020934680700513
62.0	0.019501173107897996
63.0	0.017999583360488607
64.0	0.016420310128762557
65.0	0.014436035360823782
66.0	0.012503258633049987
67.0	0.010744760583574625
68.0	0.008869882782314
69.0	0.007317085944119098
70.0	0.00589172493412906
71.0	0.0047055243140577425
72.0	0.00367614540951707
73.0	0.0028521767668773916
74.0	0.002205978195089705
75.0	0.001770717923412813
76.0	0.001305780815030678
77.0	0.0010311246008174514
78.0	7.908004133808783E-4
79.0	5.932457847253903E-4
80.0	4.4282495554293484E-4
81.0	3.1917146927109034E-4
82.0	1.9871842617334067E-4
83.0	1.2219873937452865E-4
84.0	8.088392749075944E-5
85.0	4.073291312484289E-5
86.0	2.7349241669537367E-5
87.0	1.4547468973158172E-5
88.0	7.855633245505414E-6
89.0	2.618544415168471E-6
90.0	1.4547468973158173E-6
91.0	2.0366456562421444E-6
92.0	2.9094937946316346E-7
93.0	0.0
94.0	0.0
95.0	2.9094937946316346E-7
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	7.855633245505414E-6
