## htsjdk.samtools.metrics.StringHeader
# MarkDuplicatesSpark --output /home/azureuser_michael/Data/Post_Processing/CA_marked.bam --metrics-file /home/azureuser_michael/Data/Post_Processing/Reports/CA_duplicates_report.txt --input /home/azureuser_michael/Data/Read_Alignment/CA.bam --allow-multiple-sort-orders-in-input false --treat-unsorted-as-querygroup-ordered false --duplicate-scoring-strategy SUM_OF_BASE_QUALITIES --do-not-mark-unmapped-mates false --duplicate-tagging-policy DontTag --remove-all-duplicates false --remove-sequencing-duplicates false --flow-quality-sum-strategy false --single-end-reads-end-position-significant false --flow-end-pos-uncertainty 0 --single-end-reads-clipping-is-end false --flow-skip-start-homopolymers 0 --flow-q-is-known-end false --flowbased false --read-name-regex <optimized capture of last three ':' separated fields as numeric values> --optical-duplicate-pixel-distance 100 --read-validation-stringency SILENT --interval-set-rule UNION --interval-padding 0 --interval-exclusion-padding 0 --interval-merging-rule ALL --bam-partition-size 0 --use-nio false --disable-sequence-dictionary-validation false --add-output-vcf-command-line true --sharded-output false --num-reducers 0 --create-output-bam-index true --create-output-bam-splitting-index true --splitting-index-granularity 4096 --create-output-variant-index true --spark-master local[*] --help false --version false --showHidden false --verbosity INFO --QUIET false --use-jdk-deflater false --use-jdk-inflater false --gcs-max-retries 20 --gcs-project-for-requester-pays  --disable-tool-default-read-filters false
## htsjdk.samtools.metrics.StringHeader
# Started on: April 22, 2026 at 7:45:14 PM CEST

## METRICS CLASS	org.broadinstitute.hellbender.utils.read.markduplicates.GATKDuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
P14_C_LB	6317	11958529	18591	6317	2282	1484	12	0.000219	48571465066

## HISTOGRAM	java.lang.Double
BIN	CoverageMult
1.0	1.000001
2.0	1.999756
3.0	2.999265
4.0	3.998527
5.0	4.997544
6.0	5.996315
7.0	6.994839
8.0	7.993119
9.0	8.991152
10.0	9.988939
11.0	10.986481
12.0	11.983778
13.0	12.980829
14.0	13.977634
15.0	14.974194
16.0	15.970509
17.0	16.966578
18.0	17.962403
19.0	18.957982
20.0	19.953316
21.0	20.948405
22.0	21.943249
23.0	22.937848
24.0	23.932202
25.0	24.926312
26.0	25.920177
27.0	26.913797
28.0	27.907172
29.0	28.900303
30.0	29.89319
31.0	30.885832
32.0	31.878229
33.0	32.870383
34.0	33.862292
35.0	34.853957
36.0	35.845378
37.0	36.836555
38.0	37.827487
39.0	38.818176
40.0	39.808621
41.0	40.798822
42.0	41.78878
43.0	42.778493
44.0	43.767963
45.0	44.75719
46.0	45.746173
47.0	46.734912
48.0	47.723408
49.0	48.711661
50.0	49.69967
51.0	50.687437
52.0	51.67496
53.0	52.66224
54.0	53.649277
55.0	54.63607
56.0	55.622621
57.0	56.60893
58.0	57.594995
59.0	58.580818
60.0	59.566397
61.0	60.551735
62.0	61.536829
63.0	62.521682
64.0	63.506291
65.0	64.490659
66.0	65.474784
67.0	66.458667
68.0	67.442307
69.0	68.425706
70.0	69.408862
71.0	70.391776
72.0	71.374449
73.0	72.356879
74.0	73.339068
75.0	74.321014
76.0	75.302719
77.0	76.284183
78.0	77.265405
79.0	78.246385
80.0	79.227124
81.0	80.207621
82.0	81.187877
83.0	82.167891
84.0	83.147665
85.0	84.127197
86.0	85.106488
87.0	86.085538
88.0	87.064347
89.0	88.042915
90.0	89.021242
91.0	89.999328
92.0	90.977174
93.0	91.954778
94.0	92.932142
95.0	93.909266
96.0	94.886149
97.0	95.862791
98.0	96.839193
99.0	97.815355
100.0	98.791276

