## htsjdk.samtools.metrics.StringHeader
# MarkDuplicatesSpark --output /home/azureuser_michael/Data/Post_Processing/TA_marked.bam --metrics-file /home/azureuser_michael/Data/Post_Processing/Reports/TA_duplicates_report.txt --input /home/azureuser_michael/Data/Read_Alignment/TA.bam --allow-multiple-sort-orders-in-input false --treat-unsorted-as-querygroup-ordered false --duplicate-scoring-strategy SUM_OF_BASE_QUALITIES --do-not-mark-unmapped-mates false --duplicate-tagging-policy DontTag --remove-all-duplicates false --remove-sequencing-duplicates false --flow-quality-sum-strategy false --single-end-reads-end-position-significant false --flow-end-pos-uncertainty 0 --single-end-reads-clipping-is-end false --flow-skip-start-homopolymers 0 --flow-q-is-known-end false --flowbased false --read-name-regex <optimized capture of last three ':' separated fields as numeric values> --optical-duplicate-pixel-distance 100 --read-validation-stringency SILENT --interval-set-rule UNION --interval-padding 0 --interval-exclusion-padding 0 --interval-merging-rule ALL --bam-partition-size 0 --use-nio false --disable-sequence-dictionary-validation false --add-output-vcf-command-line true --sharded-output false --num-reducers 0 --create-output-bam-index true --create-output-bam-splitting-index true --splitting-index-granularity 4096 --create-output-variant-index true --spark-master local[*] --help false --version false --showHidden false --verbosity INFO --QUIET false --use-jdk-deflater false --use-jdk-inflater false --gcs-max-retries 20 --gcs-project-for-requester-pays  --disable-tool-default-read-filters false
## htsjdk.samtools.metrics.StringHeader
# Started on: April 22, 2026 at 8:02:33 PM CEST

## METRICS CLASS	org.broadinstitute.hellbender.utils.read.markduplicates.GATKDuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
P14_T_LB	8521	17303135	16136	8527	3421	1659	12	0.000195	90886176860

## HISTOGRAM	java.lang.Double
BIN	CoverageMult
1.0	1.000001
2.0	1.999811
3.0	2.999431
4.0	3.998861
5.0	4.9981
6.0	5.997149
7.0	6.996008
8.0	7.994677
9.0	8.993156
10.0	9.991445
11.0	10.989544
12.0	11.987452
13.0	12.985171
14.0	13.9827
15.0	14.980039
16.0	15.977188
17.0	16.974147
18.0	17.970916
19.0	18.967496
20.0	19.963886
21.0	20.960086
22.0	21.956097
23.0	22.951918
24.0	23.947549
25.0	24.942991
26.0	25.938244
27.0	26.933307
28.0	27.92818
29.0	28.922864
30.0	29.917359
31.0	30.911665
32.0	31.905781
33.0	32.899708
34.0	33.893446
35.0	34.886994
36.0	35.880354
37.0	36.873524
38.0	37.866505
39.0	38.859298
40.0	39.851901
41.0	40.844315
42.0	41.836541
43.0	42.828577
44.0	43.820425
45.0	44.812084
46.0	45.803554
47.0	46.794835
48.0	47.785928
49.0	48.776832
50.0	49.767547
51.0	50.758074
52.0	51.748412
53.0	52.738561
54.0	53.728523
55.0	54.718295
56.0	55.70788
57.0	56.697275
58.0	57.686483
59.0	58.675502
60.0	59.664333
61.0	60.652976
62.0	61.64143
63.0	62.629697
64.0	63.617775
65.0	64.605665
66.0	65.593367
67.0	66.580881
68.0	67.568207
69.0	68.555346
70.0	69.542296
71.0	70.529058
72.0	71.515633
73.0	72.502019
74.0	73.488218
75.0	74.474229
76.0	75.460053
77.0	76.445688
78.0	77.431137
79.0	78.416397
80.0	79.40147
81.0	80.386356
82.0	81.371054
83.0	82.355564
84.0	83.339887
85.0	84.324023
86.0	85.307972
87.0	86.291733
88.0	87.275306
89.0	88.258693
90.0	89.241892
91.0	90.224905
92.0	91.20773
93.0	92.190368
94.0	93.172819
95.0	94.155083
96.0	95.137159
97.0	96.119049
98.0	97.100752
99.0	98.082269
100.0	99.063598

