#Coverage (X)	Coverage
1.0	2.815233552943255
2.0	2.6908807851139187
3.0	2.589740695196781
4.0	2.4984438403620146
5.0	2.414459342035258
6.0	2.335615316670072
7.0	2.2617451789343477
8.0	2.1916424582024234
9.0	2.124873353660419
10.0	2.0610675948540518
11.0	1.9997681936006302
12.0	1.9410032475353063
13.0	1.8846248121519125
14.0	1.8305074028662318
15.0	1.7783680125374701
16.0	1.7280564840085617
17.0	1.6792814444997788
18.0	1.631923986758963
19.0	1.5862096496245783
20.0	1.5419725449010997
21.0	1.4990583326119946
22.0	1.4576052882821955
23.0	1.4174719841170145
24.0	1.378605104323313
25.0	1.3409228111287632
26.0	1.304398855825653
27.0	1.2690108088023209
28.0	1.2346561303610741
29.0	1.2013763152834969
30.0	1.1691128647175333
31.0	1.1377608141426236
32.0	1.107394029725839
33.0	1.0779713500987356
34.0	1.04934777085289
35.0	1.0215648170801757
36.0	0.9945369531533856
37.0	0.9683413793710685
38.0	0.9430042838203576
39.0	0.9184344325402662
40.0	0.8946058496156581
41.0	0.8714698567271455
42.0	0.8489616504831758
43.0	0.8270948098918893
44.0	0.8058546647748415
45.0	0.7852454282617884
46.0	0.7652894087232625
47.0	0.745930562440364
48.0	0.7272115662958498
49.0	0.708930978128663
50.0	0.6911773342843475
51.0	0.6739205669591399
