#Duplication rate	Coverage
1.0	1.6572753E7
2.0	4863848.0
3.0	1505922.0
4.0	501979.0
5.0	180471.0
6.0	70211.0
7.0	28885.0
8.0	12736.0
9.0	6115.0
10.0	3117.0
11.0	1682.0
12.0	1039.0
13.0	634.0
14.0	439.0
15.0	289.0
16.0	210.0
17.0	146.0
18.0	102.0
19.0	98.0
20.0	73.0
21.0	60.0
22.0	48.0
23.0	37.0
24.0	30.0
25.0	48.0
26.0	26.0
27.0	25.0
28.0	15.0
29.0	19.0
30.0	16.0
31.0	15.0
32.0	8.0
33.0	8.0
34.0	4.0
35.0	8.0
36.0	12.0
37.0	5.0
38.0	7.0
39.0	5.0
40.0	4.0
41.0	6.0
42.0	9.0
43.0	2.0
44.0	3.0
45.0	1.0
46.0	3.0
47.0	5.0
48.0	1.0
49.0	2.0
50.0	32.0
