#Insert size (bp)	insert size
2.0	5.0
3.0	5.0
4.0	4.0
5.0	6.0
6.0	6.0
7.0	3.0
8.0	1.0
9.0	3.0
10.0	5.0
13.0	5.0
14.0	2.0
15.0	5.0
16.0	1.0
17.0	1.0
18.0	5.0
19.0	2.0
20.0	1.0
21.0	7.0
22.0	6.0
23.0	4.0
24.0	6.0
25.0	1.0
26.0	4.0
28.0	5.0
29.0	6.0
30.0	5.0
31.0	3.0
32.0	2.0
33.0	5.0
34.0	6.0
35.0	6.0
36.0	4.0
37.0	2.0
38.0	4.0
39.0	6.0
40.0	5.0
41.0	8.0
42.0	5.0
43.0	5.0
44.0	7.0
45.0	6.0
46.0	7.0
47.0	9.0
48.0	7.0
49.0	7.0
50.0	17.0
51.0	14.0
52.0	11.0
53.0	9.0
54.0	15.0
55.0	14.0
56.0	9.0
57.0	11.0
58.0	17.0
59.0	15.0
60.0	10.0
61.0	11.0
62.0	6.0
63.0	17.0
64.0	18.0
65.0	13.0
66.0	17.0
67.0	12.0
68.0	21.0
69.0	21.0
70.0	22.0
71.0	21.0
72.0	17.0
73.0	18.0
74.0	20.0
75.0	21.0
76.0	27.0
77.0	23.0
78.0	34.0
79.0	29.0
80.0	21.0
81.0	27.0
82.0	14.0
83.0	33.0
84.0	29.0
85.0	28.0
86.0	27.0
87.0	41.0
88.0	39.0
89.0	34.0
90.0	51.0
91.0	104.0
92.0	204.0
93.0	557.0
94.0	917.0
95.0	1271.0
96.0	1477.0
97.0	1842.0
98.0	2052.0
99.0	2308.0
100.0	2604.0
101.0	3060.0
102.0	3436.0
103.0	3729.0
104.0	4191.0
105.0	4600.0
106.0	5100.0
107.0	5606.0
108.0	6297.0
109.0	7098.0
110.0	7820.0
111.0	8673.0
112.0	9577.0
113.0	10347.0
114.0	11069.0
115.0	11984.0
116.0	12966.0
117.0	14143.0
118.0	15122.0
119.0	16653.0
120.0	18369.0
121.0	21393.0
122.0	23798.0
123.0	25136.0
124.0	25830.0
125.0	27116.0
126.0	28482.0
127.0	30407.0
128.0	32485.0
129.0	35292.0
130.0	38434.0
131.0	42475.0
132.0	47412.0
133.0	51853.0
134.0	54789.0
135.0	55808.0
136.0	57211.0
137.0	59995.0
138.0	63244.0
139.0	66427.0
140.0	70044.0
141.0	74255.0
142.0	78402.0
143.0	81901.0
144.0	85035.0
145.0	87823.0
146.0	89990.0
147.0	92652.0
148.0	96366.0
149.0	100217.0
150.0	104887.0
151.0	109512.0
152.0	115158.0
153.0	117214.0
154.0	119728.0
155.0	120620.0
156.0	121097.0
157.0	123425.0
158.0	125119.0
159.0	126254.0
160.0	127328.0
161.0	128516.0
162.0	129110.0
163.0	129870.0
164.0	130369.0
165.0	131027.0
166.0	130151.0
167.0	129991.0
168.0	131089.0
169.0	129601.0
170.0	130125.0
171.0	128762.0
172.0	128104.0
173.0	128055.0
174.0	126707.0
175.0	126560.0
176.0	125903.0
177.0	124831.0
178.0	125142.0
179.0	123031.0
180.0	121805.0
181.0	120627.0
182.0	119687.0
183.0	118494.0
184.0	117581.0
185.0	116835.0
186.0	116004.0
187.0	115422.0
188.0	114201.0
189.0	113146.0
190.0	111593.0
191.0	111050.0
192.0	109754.0
193.0	108684.0
194.0	107272.0
195.0	106534.0
196.0	105854.0
197.0	104783.0
198.0	103829.0
199.0	102957.0
200.0	102004.0
201.0	101489.0
202.0	99822.0
203.0	99072.0
204.0	97690.0
205.0	97543.0
206.0	96404.0
207.0	95552.0
208.0	95694.0
209.0	93806.0
210.0	93834.0
211.0	92654.0
212.0	91751.0
213.0	91007.0
214.0	89446.0
215.0	89598.0
216.0	88364.0
217.0	87492.0
218.0	87322.0
219.0	86224.0
220.0	84853.0
221.0	85505.0
222.0	84399.0
223.0	83777.0
224.0	82807.0
225.0	82190.0
226.0	81293.0
227.0	80905.0
228.0	80354.0
229.0	79746.0
230.0	78823.0
231.0	78709.0
232.0	77575.0
233.0	77176.0
234.0	76133.0
235.0	75540.0
236.0	75027.0
237.0	74298.0
238.0	73512.0
239.0	73236.0
240.0	72483.0
241.0	72041.0
242.0	71257.0
243.0	71211.0
244.0	70172.0
245.0	69104.0
246.0	68675.0
247.0	68032.0
248.0	67989.0
249.0	66956.0
250.0	66388.0
251.0	66282.0
252.0	64621.0
253.0	64987.0
254.0	64259.0
255.0	63505.0
256.0	62912.0
257.0	62134.0
258.0	61522.0
259.0	61070.0
260.0	60446.0
261.0	59799.0
262.0	59716.0
263.0	59120.0
264.0	57962.0
265.0	58001.0
266.0	57045.0
267.0	56537.0
268.0	56175.0
269.0	55315.0
270.0	55099.0
271.0	54514.0
272.0	54121.0
273.0	53050.0
274.0	52710.0
275.0	52114.0
276.0	51697.0
277.0	51098.0
278.0	50251.0
279.0	49550.0
280.0	49627.0
281.0	48721.0
282.0	48129.0
283.0	48002.0
284.0	47369.0
285.0	46691.0
286.0	46187.0
287.0	46143.0
288.0	45399.0
289.0	44732.0
290.0	44272.0
291.0	44191.0
292.0	43060.0
293.0	42326.0
294.0	41986.0
295.0	41525.0
296.0	41045.0
297.0	41490.0
298.0	40100.0
299.0	39385.0
300.0	39408.0
301.0	38618.0
302.0	38180.0
303.0	37723.0
304.0	37168.0
305.0	37166.0
306.0	36528.0
307.0	36045.0
308.0	36022.0
309.0	35078.0
