#Mapping quality	mapping quality
0.0	1.2999296E7
1.0	34773.0
2.0	27536.0
3.0	29565.0
4.0	25254.0
5.0	24275.0
6.0	25319.0
7.0	20336.0
8.0	18434.0
9.0	24477.0
10.0	20715.0
11.0	16907.0
12.0	18996.0
13.0	24713.0
14.0	14740.0
15.0	17885.0
16.0	17632.0
17.0	13428.0
18.0	19098.0
19.0	15204.0
20.0	20224.0
21.0	18236.0
22.0	16870.0
23.0	14965.0
24.0	17731.0
25.0	19434.0
26.0	14517.0
27.0	36705.0
28.0	11808.0
29.0	12271.0
30.0	13801.0
31.0	10760.0
32.0	11048.0
33.0	12163.0
34.0	11262.0
35.0	11263.0
36.0	11182.0
37.0	11312.0
38.0	11623.0
39.0	13276.0
40.0	49626.0
41.0	13736.0
42.0	15635.0
43.0	15672.0
44.0	16400.0
45.0	20397.0
46.0	21093.0
47.0	21488.0
48.0	25789.0
49.0	28577.0
50.0	50761.0
51.0	34338.0
52.0	40339.0
53.0	47981.0
54.0	52055.0
55.0	70648.0
56.0	91124.0
57.0	118925.0
58.0	205788.0
59.0	1053342.0
60.0	7.717772E7
