GraphBuildTime	0.1127h wall, 0.1092h user + 0.0025h system = 0.1117h CPU (99.11%)
GraphMergeTime	0.0001h wall, 0.0001h user + 0.0000h system = 0.0001h CPU (97.14%)
disjointSubgraphs	8277
nodes	8416
directedEdges	8499
selfEdges	8221
totalGraphEvidence	152562
totalCleaned	811655
highestSearchCount	70
isMaxSearchCount	0
highestSearchDensity	0.075
isMaxSearchDensity	0

[Sample0]
Source	/home/azureuser_michael/Data/Post_Processing/CA.bam
MinMapqFiltered	1653797	0.0706
NotFiltered	21759436	0.9294
NotFilteredAndIgnored	21596272	0.9224
NotFilteredAndAnomalousPair	101511	0.0043
NotFilteredAndAnomalousPairRemotes	79137	0.0034
NotFilteredAndSplitRead	16622	0.0007
NotFilteredAndSplitReadInAnomalousPair	5373	0.0002
NotFilteredAndSplitReadSupplementarySegments	15360	N/A
NotFilteredAndLargeIndel	4179	0.0002
NotFilteredAndSemiAligned	48925	0.0021
EvidenceType_pair	0	0.0000
EvidenceType_local_pair	97170	0.5368
EvidenceType_cigar	4244	0.0234
EvidenceType_softclip	0	0.0000
EvidenceType_semialign	49006	0.2707
EvidenceType_shadow	0	0.0000
EvidenceType_split_align	30601	0.1690
EvidenceType_unknown	0	0.0000
ClosePairs	5012

[Sample1]
Source	/home/azureuser_michael/Data/Post_Processing/TA.bam
MinMapqFiltered	2245139	0.0661
NotFiltered	31731794	0.9339
NotFilteredAndIgnored	31587613	0.9297
NotFilteredAndAnomalousPair	98744	0.0029
NotFilteredAndAnomalousPairRemotes	73607	0.0022
NotFilteredAndSplitRead	14256	0.0004
NotFilteredAndSplitReadInAnomalousPair	3181	0.0001
NotFilteredAndSplitReadSupplementarySegments	12934	N/A
NotFilteredAndLargeIndel	5907	0.0002
NotFilteredAndSemiAligned	30059	0.0009
EvidenceType_pair	0	0.0000
EvidenceType_local_pair	88562	0.5887
EvidenceType_cigar	6013	0.0400
EvidenceType_softclip	0	0.0000
EvidenceType_semialign	30158	0.2005
EvidenceType_shadow	0	0.0000
EvidenceType_split_align	25691	0.1708
EvidenceType_unknown	0	0.0000
ClosePairs	9957

NodeRegionSizequantile:
0.25	75
0.5	241
0.75	293
0.9	336
0.95	371
0.99	498
NodeEdgeCount:
0	0
1	8350
2	57
3	5
4	2
5	0
6	2
7	0
8	0
9+	0
NodeObservationCount:
0	49
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	2517
10	2
11	0
12	2847
13	7
14	0
15	1003
16	4
17	2
18	584
19	3
20	0
21	306
22	3
23	0
24	225
25	1
26	0
27	138
28	1
29+	724
