#taskLabel	taskNamespace	taskType	nCores	memMb	priority	isForceLocal	dependencies	cwd	command
getAlignmentStats_makeTmpDir		command	1	2048	0	1			mkdir -p /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/alignmentStats.xml.tmpdir
getAlignmentStats_generateStats_000		command	1	2048	0	0	getAlignmentStats_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetAlignmentStats --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --output-file /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/alignmentStats.xml.tmpdir/alignmentStats.xml.000.xml --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam
getAlignmentStats_generateStats_001		command	1	2048	0	0	getAlignmentStats_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetAlignmentStats --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --output-file /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/alignmentStats.xml.tmpdir/alignmentStats.xml.001.xml --align-file /home/azureuser_michael/Data/Post_Processing/TA.bam
getAlignmentStats_mergeStats		command	1	2048	0	1	getAlignmentStats_generateStats_001,getAlignmentStats_generateStats_000		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/MergeAlignmentStats --output-file /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/alignmentStats.xml --align-stats-file /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/alignmentStats.xml.tmpdir/alignmentStats.xml.000.xml --align-stats-file /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/alignmentStats.xml.tmpdir/alignmentStats.xml.001.xml
getAlignmentStats_removeTmpDir		command	1	2048	0	1	getAlignmentStats_mergeStats		rm -rf /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/alignmentStats.xml.tmpdir
summarizeStats		command	1	2048	0	1	getAlignmentStats_mergeStats		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/SummarizeAlignmentStats --align-stats /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/alignmentStats.xml --output-file /home/azureuser_michael/Data/Variant_Calling/SV_Results/results/stats/alignmentStatsSummary.txt
getChromDepth_makeTmpDir		command	1	2048	0	1			mkdir -p /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir
getChromDepth_sample000_makeTmpDir		command	1	2048	0	1	getChromDepth_makeTmpDir		mkdir -p /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir
getChromDepth_sample000_estimateChromDepth_000_chr1		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_000_chr1 --chrom chr1
getChromDepth_sample000_estimateChromDepth_001_chr10		command	1	1536	0	0	getChromDepth_sample000_makeTmpDir		/home/azureuser_michael/Utils/miniforge3/envs/manta_env/libexec/GetChromDepth --ref /home/azureuser_michael/Data/Read_Alignment/hg_38.fa --align-file /home/azureuser_michael/Data/Post_Processing/CA.bam --output /home/azureuser_michael/Data/Variant_Calling/SV_Results/workspace/chromDepth.txt.tmpdir/chromDepth.txt.000.txt.tmpdir/chromDepth.txt.000.txt_001_chr10 --chrom chr10
