#taskLabel	taskNamespace	runState	errorCode	runStateUpdateTime
getAlignmentStats_makeTmpDir		complete	0	2026-04-16T01:43:42.007950Z
getAlignmentStats_generateStats_000		complete	0	2026-04-16T01:43:54.917253Z
getAlignmentStats_generateStats_001		complete	0	2026-04-16T01:43:59.388391Z
getAlignmentStats_mergeStats		complete	0	2026-04-16T01:44:01.637518Z
getAlignmentStats_removeTmpDir		complete	0	2026-04-16T01:44:32.518043Z
summarizeStats		complete	0	2026-04-16T01:44:17.726433Z
getChromDepth_makeTmpDir		complete	0	2026-04-16T01:43:42.027848Z
getChromDepth_sample000_makeTmpDir		complete	0	2026-04-16T01:43:42.132265Z
getChromDepth_sample000_estimateChromDepth_000_chr1		complete	0	2026-04-16T01:44:48.572252Z
getChromDepth_sample000_estimateChromDepth_001_chr10		complete	0	2026-04-16T01:44:28.960205Z
getChromDepth_sample000_estimateChromDepth_002_chr11		complete	0	2026-04-16T01:44:12.421867Z
getChromDepth_sample000_estimateChromDepth_003_chr11_KI270721v1_random		complete	0	2026-04-16T01:44:08.629469Z
getChromDepth_sample000_estimateChromDepth_004_chr12		complete	0	2026-04-16T01:44:15.218126Z
getChromDepth_sample000_estimateChromDepth_005_chr13		complete	0	2026-04-16T01:44:13.778104Z
getChromDepth_sample000_estimateChromDepth_006_chr14		complete	0	2026-04-16T01:44:17.331325Z
getChromDepth_sample000_estimateChromDepth_007_chr14_GL000009v2_random		complete	0	2026-04-16T01:44:16.131093Z
getChromDepth_sample000_estimateChromDepth_008_chr14_GL000225v1_random		complete	0	2026-04-16T01:44:17.089016Z
getChromDepth_sample000_estimateChromDepth_009_chr14_KI270722v1_random		complete	0	2026-04-16T01:43:49.336069Z
getChromDepth_sample000_estimateChromDepth_010_chr14_GL000194v1_random		complete	0	2026-04-16T01:43:51.635808Z
getChromDepth_sample000_estimateChromDepth_011_chr14_KI270723v1_random_to_012_chr14_KI270724v1_random		complete	0	2026-04-16T01:43:55.465184Z
getChromDepth_sample000_estimateChromDepth_013_chr14_KI270725v1_random		complete	0	2026-04-16T01:43:58.013927Z
